,Mkt-RF,SMB,HML,RMW,CMA,RF,
19630701,-0.67,0.02,-0.35,0.03,0.13,0.012,1963-07-01
19630702,0.79,-0.28,0.28,-0.08,-0.21,0.012,1963-07-02
19630703,0.63,-0.18,-0.1,0.13,-0.25,0.012,1963-07-03
19630705,0.4,0.09,-0.28,0.07,-0.3,0.012,1963-07-05
19630708,-0.63,0.07,-0.2,-0.27,0.06,0.012,1963-07-08
19630709,0.45,0,0.09,0.15,-0.01,0.012,1963-07-09
19630710,-0.18,0.2,0,0.05,-0.09,0.012,1963-07-10
19630711,-0.16,0.12,-0.29,-0.03,0.07,0.012,1963-07-11
19630712,-0.12,0.01,-0.09,0.09,0.08,0.012,1963-07-12
19630715,-0.62,0.07,-0.03,0.15,-0.1,0.012,1963-07-15
19630716,-0.07,-0.06,0.13,-0.04,-0.1,0.012,1963-07-16
19630717,-0.33,-0.08,0.12,0.04,0.08,0.012,1963-07-17
19630718,-0.54,0.26,0.07,-0.07,0.21,0.012,1963-07-18
19630719,-0.23,-0.03,-0.06,0.16,-0.34,0.012,1963-07-19
19630722,-0.7,-0.1,-0.35,0.03,-0.14,0.012,1963-07-22
19630723,0.01,-0.1,-0.19,0.03,-0.09,0.012,1963-07-23
19630724,0.46,-0.11,-0.03,-0.12,-0.25,0.012,1963-07-24
19630725,-0.04,0.14,0.28,-0.15,0.13,0.012,1963-07-25
19630726,0.35,-0.13,0.07,0,-0.14,0.012,1963-07-26
19630729,0.11,-0.18,0.24,0.03,-0.03,0.012,1963-07-29
19630730,0.84,-0.27,-0.26,0.48,-0.32,0.012,1963-07-30
19630731,-0.13,0.11,-0.03,-0.13,0.3,0.012,1963-07-31
19630801,-0.08,-0.12,-0.13,0.13,-0.08,0.011,1963-08-01
19630802,0.29,-0.14,0.16,-0.05,0.03,0.011,1963-08-02
19630805,0.57,-0.42,0.16,0.01,0.08,0.011,1963-08-05
19630806,0.6,-0.36,0.25,-0.02,-0.04,0.011,1963-08-06
19630807,-0.19,0.01,0.18,-0.16,0.14,0.011,1963-08-07
19630808,0.14,-0.02,-0.24,0.25,-0.22,0.011,1963-08-08
19630809,0.6,-0.1,-0.02,0.15,-0.02,0.011,1963-08-09
19630812,0.24,0.2,0.45,-0.09,0.35,0.011,1963-08-12
19630813,0.27,-0.24,0.01,0.05,-0.04,0.011,1963-08-13
19630814,0.3,-0.06,0.21,-0.19,0.09,0.011,1963-08-14
19630815,0.43,-0.29,0.37,-0.16,0,0.011,1963-08-15
19630816,0.15,0.07,0.09,0.09,-0.19,0.011,1963-08-16
19630819,-0.05,-0.01,-0.09,-0.08,0,0.011,1963-08-19
19630820,-0.05,0.01,-0.24,0.03,0.09,0.011,1963-08-20
19630821,-0.11,0.34,-0.1,-0.05,0.08,0.011,1963-08-21
19630822,0.39,0.08,0.12,-0.12,-0.26,0.011,1963-08-22
19630823,0.34,-0.02,0.11,0.04,-0.02,0.011,1963-08-23
19630826,0.18,-0.12,0.17,0.09,-0.22,0.011,1963-08-26
19630827,-0.44,0.09,-0.1,0.04,0.09,0.011,1963-08-27
19630828,0.77,0.08,0.43,0.06,0.22,0.011,1963-08-28
19630829,0.18,0.13,0,0.1,0.05,0.011,1963-08-29
19630830,0.44,0.15,-0.13,0.15,-0.21,0.011,1963-08-30
19630903,0.23,0.07,0.07,-0.01,0.17,0.014,1963-09-03
19630904,-0.01,0.06,-0.06,-0.35,0.01,0.014,1963-09-04
19630905,0.47,-0.09,0.14,-0.09,0,0.014,1963-09-05
19630906,-0.27,-0.17,0.01,0.14,0.02,0.014,1963-09-06
19630909,-0.36,-0.25,-0.04,0.09,0.12,0.014,1963-09-09
19630910,0.52,-0.13,0.43,-0.01,-0.16,0.014,1963-09-10
