Dates,S&P 500 Net (Total Return) Index (^SPXNTR) - Index Value
Mar-18-2010,1816.80
Mar-19-2010,1807.55
Mar-22-2010,1816.79
Mar-23-2010,1829.97
Mar-24-2010,1819.93
Mar-25-2010,1816.83
Mar-26-2010,1818.18
Mar-29-2010,1828.74
Mar-30-2010,1828.97
Mar-31-2010,1823.00
Apr-01-2010,1836.56
Apr-05-2010,1851.16
Apr-06-2010,1854.29
Apr-07-2010,1843.96
Apr-08-2010,1850.22
Apr-09-2010,1862.59
Apr-12-2010,1865.91
Apr-13-2010,1867.29
Apr-14-2010,1888.13
Apr-15-2010,1889.71
Apr-16-2010,1859.24
Apr-19-2010,1867.66
Apr-20-2010,1882.73
Apr-21-2010,1880.82
Apr-22-2010,1885.14
Apr-23-2010,1898.56
Apr-26-2010,1890.43
Apr-27-2010,1846.23
Apr-28-2010,1858.39
Apr-29-2010,1882.55
Apr-30-2010,1851.21
May-03-2010,1875.51
May-04-2010,1830.81
May-05-2010,1819.22
May-06-2010,1760.51
May-07-2010,1733.57
May-10-2010,1809.83
May-11-2010,1803.95
May-12-2010,1829.17
May-13-2010,1807.03
May-14-2010,1773.07
May-17-2010,1775.27
May-18-2010,1750.28
May-19-2010,1741.42
May-20-2010,1673.67
May-21-2010,1698.82
May-24-2010,1676.91
May-25-2010,1677.50
May-26-2010,1668.23
May-27-2010,1723.51
May-28-2010,1702.21
Jun-01-2010,1673.05
Jun-02-2010,1716.47
Jun-03-2010,1723.48
Jun-04-2010,1664.21
Jun-07-2010,1641.76
Jun-08-2010,1659.95
Jun-09-2010,1650.15
Jun-10-2010,1698.84
Jun-11-2010,1706.72
Jun-14-2010,1703.66
Jun-15-2010,1743.70
Jun-16-2010,1742.76
Jun-17-2010,1745.15
Jun-18-2010,1747.46
Jun-21-2010,1740.73
Jun-22-2010,1712.92
Jun-23-2010,1707.83
Jun-24-2010,1679.14
Jun-25-2010,1683.95
Jun-28-2010,1680.75
Jun-29-2010,1628.66
Jun-30-2010,1612.32
Jul-01-2010,1607.16
Jul-02-2010,1599.71
Jul-06-2010,1608.28
Jul-07-2010,1659.22
Jul-08-2010,1674.87
Jul-09-2010,1686.94
Jul-12-2010,1688.21
Jul-13-2010,1714.27
Jul-14-2010,1714.03
Jul-15-2010,1716.07
Jul-16-2010,1666.65
Jul-19-2010,1676.64
Jul-20-2010,1695.81
Jul-21-2010,1674.24
Jul-22-2010,1711.97
Jul-23-2010,1726.05
Jul-26-2010,1745.39
Jul-27-2010,1743.56
Jul-28-2010,1731.56
Jul-29-2010,1724.56
Jul-30-2010,1724.66
Aug-02-2010,1762.66
Aug-03-2010,1754.22
Aug-04-2010,1765.26
Aug-05-2010,1763.08
Aug-06-2010,1756.68
Aug-09-2010,1766.34
Aug-10-2010,1755.82
Aug-11-2010,1706.95
Aug-12-2010,1697.93
Aug-13-2010,1691.13
Aug-16-2010,1691.40
Aug-17-2010,1712.37
Aug-18-2010,1715.08
Aug-19-2010,1686.05
Aug-20-2010,1679.88
Aug-23-2010,1673.11
Aug-24-2010,1648.85
Aug-25-2010,1654.40
Aug-26-2010,1641.72
Aug-27-2010,1669.26
Aug-30-2010,1644.93
Aug-31-2010,1645.61
Sep-01-2010,1694.30
Sep-02-2010,1709.77
Sep-03-2010,1732.41
Sep-07-2010,1712.61
Sep-08-2010,1723.91
Sep-09-2010,1732.25
Sep-10-2010,1740.70
Sep-13-2010,1760.51
Sep-14-2010,1759.25
Sep-15-2010,1765.51
Sep-16-2010,1765.07
Sep-17-2010,1766.53
Sep-20-2010,1793.43
Sep-21-2010,1788.86
Sep-22-2010,1780.38
Sep-23-2010,1765.54
Sep-24-2010,1802.97
Sep-27-2010,1792.77
Sep-28-2010,1801.68
Sep-29-2010,1797.17
Sep-30-2010,1791.64
Oct-01-2010,1799.57
Oct-04-2010,1785.21
Oct-05-2010,1822.44
Oct-06-2010,1821.87
Oct-07-2010,1818.86
Oct-08-2010,1830.00
Oct-11-2010,1830.27
Oct-12-2010,1837.27
Oct-13-2010,1850.49
Oct-14-2010,1843.75
Oct-15-2010,1847.48
Oct-18-2010,1860.89
Oct-19-2010,1831.33
Oct-20-2010,1850.81
Oct-21-2010,1854.17
Oct-22-2010,1858.58
Oct-25-2010,1862.59
Oct-26-2010,1862.61
Oct-27-2010,1857.78
Oct-28-2010,1859.98
Oct-29-2010,1859.17
Nov-01-2010,1860.94
Nov-02-2010,1875.37
Nov-03-2010,1882.51
Nov-04-2010,1919.03
Nov-05-2010,1926.65
Nov-08-2010,1922.74
Nov-09-2010,1907.69
Nov-10-2010,1916.31
Nov-11-2010,1908.18
Nov-12-2010,1885.72
Nov-15-2010,1883.51
Nov-16-2010,1853.35
Nov-17-2010,1853.95
Nov-18-2010,1882.43
Nov-19-2010,1887.29
Nov-22-2010,1884.39
Nov-23-2010,1857.52
Nov-24-2010,1885.31
Nov-26-2010,1871.55
Nov-29-2010,1869.33
Nov-30-2010,1858.06
Dec-01-2010,1898.41
Dec-02-2010,1922.77
Dec-03-2010,1927.83
Dec-06-2010,1925.38
Dec-07-2010,1926.39
Dec-08-2010,1933.87
Dec-09-2010,1941.41
Dec-10-2010,1953.07
Dec-13-2010,1953.39
Dec-14-2010,1955.19
Dec-15-2010,1945.20
Dec-16-2010,1957.28
Dec-17-2010,1958.92
Dec-20-2010,1963.94
Dec-21-2010,1975.99
Dec-22-2010,1982.86
Dec-23-2010,1979.71
Dec-27-2010,1980.92
Dec-28-2010,1982.47
Dec-29-2010,1984.72
Dec-30-2010,1981.76
Dec-31-2010,1981.38
Jan-03-2011,2003.85
Jan-04-2011,2001.24
Jan-05-2011,2011.45
Jan-06-2011,2007.71
Jan-07-2011,2004.01
Jan-10-2011,2001.26
Jan-11-2011,2008.71
Jan-12-2011,2026.95
Jan-13-2011,2023.49
Jan-14-2011,2038.48
Jan-18-2011,2041.31
Jan-19-2011,2020.85
Jan-20-2011,2018.24
Jan-21-2011,2023.14
Jan-24-2011,2034.95
Jan-25-2011,2035.53
Jan-26-2011,2044.18
Jan-27-2011,2048.83
Jan-28-2011,2012.30
Jan-31-2011,2027.71
Feb-01-2011,2061.57
Feb-02-2011,2056.21
Feb-03-2011,2061.26
Feb-04-2011,2067.22
Feb-07-2011,2080.14
Feb-08-2011,2089.30
Feb-09-2011,2083.66
Feb-10-2011,2085.35
Feb-11-2011,2097.04
Feb-14-2011,2102.35
Feb-15-2011,2095.72
Feb-16-2011,2109.10
Feb-17-2011,2115.71
Feb-18-2011,2119.80
Feb-22-2011,2076.30
Feb-23-2011,2063.67
Feb-24-2011,2061.97
Feb-25-2011,2084.11
Feb-28-2011,2095.78
Mar-01-2011,2062.79
Mar-02-2011,2066.36
Mar-03-2011,2101.99
Mar-04-2011,2086.50
Mar-07-2011,2069.14
Mar-08-2011,2087.87
Mar-09-2011,2085.26
Mar-10-2011,2045.90
Mar-11-2011,2060.83
Mar-14-2011,2048.41
Mar-15-2011,2025.48
Mar-16-2011,1986.03
Mar-17-2011,2012.68
Mar-18-2011,2021.35
Mar-21-2011,2051.67
Mar-22-2011,2044.55
Mar-23-2011,2050.53
Mar-24-2011,2069.68
Mar-25-2011,2076.23
Mar-28-2011,2070.52
Mar-29-2011,2085.44
Mar-30-2011,2099.55
Mar-31-2011,2095.70
Apr-01-2011,2106.12
Apr-04-2011,2107.03
Apr-05-2011,2106.67
Apr-06-2011,2111.88
Apr-07-2011,2108.72
Apr-08-2011,2100.28
Apr-11-2011,2094.44
Apr-12-2011,2078.17
Apr-13-2011,2078.71
Apr-14-2011,2078.90
Apr-15-2011,2087.06
Apr-18-2011,2064.08
Apr-19-2011,2075.96
Apr-20-2011,2104.05
Apr-21-2011,2115.20
Apr-25-2011,2111.83
Apr-26-2011,2130.79
Apr-27-2011,2144.36
Apr-28-2011,2152.10
Apr-29-2011,2157.06
May-02-2011,2153.28
May-03-2011,2146.01
May-04-2011,2131.57
May-05-2011,2112.31
May-06-2011,2120.55
May-09-2011,2130.21
May-10-2011,2147.43
May-11-2011,2124.39
May-12-2011,2134.95
May-13-2011,2117.79
May-16-2011,2104.74
May-17-2011,2104.34
May-18-2011,2123.13
May-19-2011,2127.88
May-20-2011,2111.52
May-23-2011,2086.36
May-24-2011,2084.66
May-25-2011,2091.40
May-26-2011,2100.01
May-27-2011,2108.88
May-31-2011,2131.23
Jun-01-2011,2082.83
Jun-02-2011,2080.36
Jun-03-2011,2060.19
Jun-06-2011,2038.04
Jun-07-2011,2036.16
Jun-08-2011,2027.94
Jun-09-2011,2042.91
Jun-10-2011,2014.37
Jun-13-2011,2016.18
Jun-14-2011,2041.69
Jun-15-2011,2006.14
Jun-16-2011,2009.89
Jun-17-2011,2016.03
Jun-20-2011,2026.91
Jun-21-2011,2054.27
Jun-22-2011,2041.05
Jun-23-2011,2035.28
Jun-24-2011,2011.41
Jun-27-2011,2029.88
Jun-28-2011,2056.48
Jun-29-2011,2073.70
Jun-30-2011,2094.69
Jul-01-2011,2125.07
Jul-05-2011,2122.27
Jul-06-2011,2124.96
Jul-07-2011,2147.25
Jul-08-2011,2132.31
Jul-11-2011,2093.76
Jul-12-2011,2084.49
Jul-13-2011,2091.09
Jul-14-2011,2077.07
Jul-15-2011,2088.62
Jul-18-2011,2071.68
